count,country,iso3c,ccode,year
151,Cuba,CUB,40,1984
24,Cyprus,CYP,352,1984
84,East Germany,DDR,265,1984
348,West Germany,DEU,260,1984
3,Dominica,DMA,54,1984
38,Denmark,DNK,390,1984
30,Dominican Republic,DOM,42,1984
6,Algeria,DZA,615,1984
19,Ecuador,ECU,130,1984
110,Egypt,EGY,651,1984
1,Eritrea,ERI,531,1984
95,Spain,ESP,230,1984
71,Ethiopia,ETH,530,1984
20,Finland,FIN,375,1984
424,France,FRA,220,1984
1,Gabon,GAB,481,1984
568,Great Britain,GBR,200,1984
6,Ghana,GHA,452,1984
24,Guinea,GIN,438,1984
1,Guinea-Bissau,GNB,404,1984
86,Greece,GRC,350,1984
61,Grenada,GRD,55,1984
30,Guatemala,GTM,90,1984
6,Guyana,GUY,110,1984
80,Honduras,HND,91,1984
30,Haiti,HTI,41,1984
10,Hungary,HUN,310,1984
38,Indonesia,IDN,850,1984
351,India,IND,750,1984
115,Ireland,IRL,205,1984
275,Iran,IRN,630,1984
202,Iraq,IRQ,645,1984
1,Iceland,ISL,395,1984
518,Israel,ISR,666,1984
180,Italy,ITA,325,1984
14,Jamaica,JAM,51,1984
119,Jordan,JOR,663,1984
391,Japan,JPN,740,1984
19,Kenya,KEN,501,1984
30,Cambodia,KHM,811,1984
148,South Korea,KOR,732,1984
40,Kuwait,KWT,690,1984
18,Laos,LAO,812,1984
583,Lebanon,LBN,660,1984
7,Liberia,LBR,450,1984
131,Libya,LBY,620,1984
1,St. Lucia,LCA,56,1984
2,Liechtenstein,LIE,223,1984
26,Sri Lanka,LKA,780,1984
9,Luxembourg,LUX,212,1984
25,Morocco,MAR,600,1984
NA,Maldives,MDV,781,1984
198,Mexico,MEX,70,1984
1,Mali,MLI,432,1984
5,Malta,MLT,338,1984
3,Burma,MMR,775,1984
2,Mongolia,MNG,712,1984
31,Mozambique,MOZ,541,1984
2,Mauritania,MRT,435,1984
NA,Malawi,MWI,553,1984
18,Malaysia,MYS,820,1984
55,Nigeria,NGA,475,1984
407,Nicaragua,NIC,93,1984
47,Netherlands,NLD,210,1984
34,Norway,NOR,385,1984
6,Nepal,NPL,790,1984
19,New Zealand,NZL,920,1984
3,Oman,OMN,698,1984
42,Pakistan,PAK,770,1984
31,Panama,PAN,95,1984
41,Peru,PER,135,1984
160,Philippines,PHL,840,1984
8,Papua New Guinea,PNG,910,1984
190,Poland,POL,290,1984
20,Portugal,PRT,235,1984
9,Paraguay,PRY,150,1984
1,Palestine,PSE,NA,1984
3,Qatar,QAT,694,1984
3,Russia,RUS,365,1984
87,Saudi Arabia,SAU,670,1984
23,Sudan,SDN,625,1984
1,Senegal,SEN,433,1984
8,Singapore,SGP,830,1984
3,Solomon Islands,SLB,940,1984
2,Sierra Leone,SLE,451,1984
7,Somalia,SOM,520,1984
2,Suriname,SUR,115,1984
66,Sweden,SWE,380,1984
3,Swaziland,SWZ,572,1984
162,Syria,SYR,652,1984
32,Chad,TCD,483,1984
2,Togo,TGO,461,1984
28,Thailand,THA,800,1984
3,Trinidad and Tobago,TTO,52,1984
10,Tunisia,TUN,616,1984
52,Turkey,TUR,640,1984
10,Tanzania,TZA,510,1984
15,Uganda,UGA,500,1984
19,Uruguay,URY,165,1984
4637,United States,USA,2,1984
51,Venezuela,VEN,101,1984
65,Vietnam,VNM,816,1984
1,Samoa,WSM,990,1984
4,Yemen Arab Republic,YEM,678,1984
1,"Yemen, People's",YMD,680,1984
53,Yugoslavia,YUG,345,1984
234,South Africa,ZAF,560,1984
5,Zambia,ZMB,551,1984
38,Zimbabwe,ZWE,552,1984
108,Afghanistan,AFG,700,1985
73,Angola,AGO,540,1985
14,Albania,ALB,339,1985
